id,name,description,address,locality,region,latitude,longitude,openingHours,access,wheelchair,babyChange,unisex,male,female,drinkingWater,fee,operator,source,sourceId,sourceIds,sourceUrl,confidence,lastVerified
osm-way-1324312091,1903 Square Public Toilets,,,,,-41.275148,173.2842213,Unknown,public,true,,,true,true,,false,,OpenStreetMap,way/1324312091,way/1324312091,https://www.openstreetmap.org/way/1324312091,0.78,
osm-way-1311669812,Alfred Stream Reserve Public Toilet,,,,Marlborough,-41.2320639,173.5815239,24/7,public,,,true,,,,,Marlborough District Council,OpenStreetMap,way/1311669812,way/1311669812,https://www.openstreetmap.org/way/1311669812,0.82,
osm-node-3416528539,also contains showers,also contains showers,,,,-35.7318813,174.3149086,Unknown,unknown,,,,,,,,,OpenStreetMap,node/3416528539,node/3416528539,https://www.openstreetmap.org/node/3416528539,0.55,
osm-node-385619621,Amberley domain toilets,,,,,-43.150078,172.7205238,Unknown,unknown,,,,,,,,,OpenStreetMap,node/385619621,node/385619621,https://www.openstreetmap.org/node/385619621,0.63,
osm-node-5255522290,Anfield Street,,"45 Anfield Street, Brooklands",Brooklands,,-43.4020452,172.6987332,Unknown,unknown,,,,,,,,,OpenStreetMap,node/5255522290,node/5255522290,https://www.openstreetmap.org/node/5255522290,0.55,
osm-way-1410471486,Anzac Park Public Toilets,,,,,-41.2714261,173.280129,Unknown,unknown,,,true,,,,,,OpenStreetMap,way/1410471486,way/1410471486,https://www.openstreetmap.org/way/1410471486,0.63,
osm-way-1360824745,Athol Toilet,,,,,-45.5090543,168.5707701,24/7,public,true,false,true,,,,false,,OpenStreetMap,way/1360824745,way/1360824745,https://www.openstreetmap.org/way/1360824745,0.86,
osm-node-13648773349,Avalon Park Public Toilet Entrance,,,,,-41.1945972,174.9327601,24/7,public,limited,false,true,,,,,,OpenStreetMap,node/13648773349,node/13648773349,https://www.openstreetmap.org/node/13648773349,0.86,
osm-node-11311055634,Avebury Park Public Toilet,Avebury Park Public Toilet,,,,-43.5200665,172.6600892,Unknown,public,true,,true,,,,false,,OpenStreetMap,node/11311055634,node/11311055634,https://www.openstreetmap.org/node/11311055634,0.7,
osm-node-2102394897,Awakino,,,,,-38.6975256,174.6191715,Unknown,unknown,,,,true,true,,,,OpenStreetMap,node/2102394897,node/2102394897,https://www.openstreetmap.org/node/2102394897,0.63,
osm-node-10776431907,Balfour Plunket Rooms Toilet,,,,,-45.8390803,168.5862199,Unknown,unknown,,,,,,,,,OpenStreetMap,node/10776431907,node/10776431907,https://www.openstreetmap.org/node/10776431907,0.63,
osm-way-200676109,Bannister Street Toilets,There is a fee for using the shower - please bring your own towel,,,,-40.9509601,175.6608816,Mo-Fr 09:00-16:00; Sa 10:00-14:00,public,true,true,true,,,,false,,OpenStreetMap,way/200676109,way/200676109,https://www.openstreetmap.org/way/200676109,0.86,
osm-way-339482361,Building footprint approx-under trees,Building footprint approx-under trees,,,,-36.5455973,174.7084909,Unknown,unknown,,,,,,,false,,OpenStreetMap,way/339482361,way/339482361,https://www.openstreetmap.org/way/339482361,0.55,
osm-node-12459804429,Bus Interchange Public Toilets,,,,,-41.2721612,173.2825369,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/12459804429,node/12459804429,https://www.openstreetmap.org/node/12459804429,0.73,2025-09-05
osm-way-153884938,Buxton Square Public Toilets,,,,,-41.2734829,173.2854672,Unknown,unknown,true,true,,,,,false,,OpenStreetMap,way/153884938,way/153884938,https://www.openstreetmap.org/way/153884938,0.73,
osm-way-352988252,Campers only toilets these are locked to the public at all times,Campers only toilets these are locked to the public at all times,,,,-41.27196,173.9409433,24/7,customers,,,,,,,,Momorangi Bay,OpenStreetMap,way/352988252,way/352988252,https://www.openstreetmap.org/way/352988252,0.74,
osm-way-1347056879,"Carpark on current aerials is gone now, remove this note when aerials update to reveal new changes.","Carpark on current aerials is gone now, remove this note when aerials update to reveal new changes.",,,,-37.6826041,176.1704389,Unknown,unknown,,,,,,,,,OpenStreetMap,way/1347056879,way/1347056879,https://www.openstreetmap.org/way/1347056879,0.55,
osm-way-395231027,Changing Rooms,,,,,-41.1198146,174.8762425,Unknown,unknown,true,,,,,,,,OpenStreetMap,way/395231027,way/395231027,https://www.openstreetmap.org/way/395231027,0.73,
osm-node-3437027061,chemical toilet,chemical toilet,,,,-40.9569618,173.0579367,Unknown,public,false,,,,,,false,,OpenStreetMap,node/3437027061,node/3437027061,https://www.openstreetmap.org/node/3437027061,0.7,
osm-way-659649097,Children's Garden Toilet,,,,,-37.0105332,174.9088564,Unknown,unknown,true,,,,,,false,,OpenStreetMap,way/659649097,way/659649097,https://www.openstreetmap.org/way/659649097,0.73,
osm-node-12645925121,closed at night,closed at night,,,,-37.1344677,175.5397731,Unknown,public,false,false,true,,,,false,,OpenStreetMap,node/12645925121,node/12645925121,https://www.openstreetmap.org/node/12645925121,0.7,
osm-way-156917156,closed from 20110222 earthquake until 201304,closed from 20110222 earthquake until 201304,,,,-43.6033015,172.722686,Unknown,unknown,true,,true,,,,,,OpenStreetMap,way/156917156,way/156917156,https://www.openstreetmap.org/way/156917156,0.65,
osm-node-6220356536,Cobb Dam Information Point toilet,,,,,-41.1055228,172.6921062,Unknown,unknown,,,,,,,,,OpenStreetMap,node/6220356536,node/6220356536,https://www.openstreetmap.org/node/6220356536,0.63,
osm-way-479191453,Cobham Court,,"Cobham Court, Porirua",Porirua,,-41.135479,174.8401498,Unknown,unknown,,,,,,,,,OpenStreetMap,way/479191453,way/479191453,https://www.openstreetmap.org/way/479191453,0.55,
osm-node-10770096229,Colac Bay Play Ground Toilet,,,,,-46.3662893,167.8815728,Unknown,unknown,,,,,,,,,OpenStreetMap,node/10770096229,node/10770096229,https://www.openstreetmap.org/node/10770096229,0.63,
osm-node-11749387588,cold water,cold water,,,,-39.9396558,174.9773484,Unknown,public,true,,,true,true,,false,,OpenStreetMap,node/11749387588,node/11749387588,https://www.openstreetmap.org/node/11749387588,0.7,
osm-node-4380193194,Coopers Creek carpark toilet,,,,,-43.2700566,172.0933991,Unknown,unknown,,false,true,,,,false,,OpenStreetMap,node/4380193194,node/4380193194,https://www.openstreetmap.org/node/4380193194,0.63,
osm-node-1357198229,Cornwall Park Archery,,,,,-36.9036875,174.783994,Unknown,unknown,true,,,true,true,,,,OpenStreetMap,node/1357198229,node/1357198229,https://www.openstreetmap.org/node/1357198229,0.73,
osm-node-10776425668,Dipton Toilet,,,,,-45.8987376,168.3684861,Unknown,unknown,,,,,,,,,OpenStreetMap,node/10776425668,node/10776425668,https://www.openstreetmap.org/node/10776425668,0.63,
osm-way-757456167,Disabled Toilet,Disabled Toilet,,,,-46.5912551,169.3563032,Unknown,customers,true,,true,,,,false,,OpenStreetMap,way/757456167,way/757456167,https://www.openstreetmap.org/way/757456167,0.7,
osm-way-254770355,Disused Toilet,,,,,-38.0737041,175.260517,Unknown,unknown,,,,,,,,,OpenStreetMap,way/254770355,way/254770355,https://www.openstreetmap.org/way/254770355,0.63,
osm-node-13331907844,do the toilets further south exist?,do the toilets further south exist?,,,,-36.9405069,175.4710917,"Mo-Su,PH 00:00-00:00",unknown,true,true,,true,,,false,,OpenStreetMap,node/13331907844,node/13331907844,https://www.openstreetmap.org/node/13331907844,0.73,
osm-way-442158771,Earnslaw Park Toilets,,,,,-45.032592,168.6590129,Unknown,public,true,,,true,true,true,false,,OpenStreetMap,way/442158771,way/442158771,https://www.openstreetmap.org/way/442158771,0.78,
osm-node-7127265510,Exeloo,Exeloo,,,,-38.0049377,175.3238825,Unknown,unknown,true,,true,,,,false,,OpenStreetMap,node/7127265510,node/7127265510,https://www.openstreetmap.org/node/7127265510,0.65,
osm-way-1134430249,Feilding Manchester Square Public Toilets,,,,,-40.226583,175.5645437,Unknown,unknown,,,,,,,,,OpenStreetMap,way/1134430249,way/1134430249,https://www.openstreetmap.org/way/1134430249,0.63,
osm-node-11477666670,for disabled & families,for disabled & families,,,,-38.2610289,175.1034182,Unknown,public,true,,,,,,false,,OpenStreetMap,node/11477666670,node/11477666670,https://www.openstreetmap.org/node/11477666670,0.7,
osm-node-13456802097,Free Toilets,,,,,-40.1877084,175.4528209,Unknown,unknown,,,,,,,,,OpenStreetMap,node/13456802097,node/13456802097,https://www.openstreetmap.org/node/13456802097,0.63,
